 iteration	    volume	       obj	 step-size	num-reeval	succ-objdiff	 stnrty-L2	  stnrty-B	
208,	5.31280531e-01,	6.19785915e+02,	8.21425998e+01,	0,	5.40103927e-01,	3.79502370e+03,	2.01063136e-03,	
209,	5.30517578e-01,	6.19408778e+02,	1.05482223e+02,	0,	3.77137091e-01,	3.79037670e+03,	3.43647366e-06,	
210,	5.29342651e-01,	6.18654140e+02,	1.30151474e+02,	0,	7.54638441e-01,	3.76879966e+03,	1.89662495e-06,	
211,	5.29098511e-01,	6.18630073e+02,	1.31473098e+02,	0,	2.40667793e-02,	3.77709982e+03,	3.89058342e-18,	
212,	5.28320312e-01,	6.18047447e+02,	9.71524157e+01,	0,	5.82625646e-01,	3.77033303e+03,	9.07126367e-94,	
213,	5.27923584e-01,	6.17665194e+02,	1.11436317e+02,	0,	3.82253698e-01,	3.76843848e+03,	5.04476622e-12,	
214,	5.26916504e-01,	6.17278487e+02,	1.30585885e+02,	0,	3.86706327e-01,	3.75587677e+03,	5.99729103e-04,	
215,	5.27084351e-01,	6.17190065e+02,	1.09528025e+02,	0,	8.84223944e-02,	3.76258067e+03,	7.54336100e-31,	
216,	5.26519775e-01,	6.16895264e+02,	8.89989202e+01,	0,	2.94800794e-01,	3.75893517e+03,	1.38078617e-23,	
217,	5.25955200e-01,	6.16611917e+02,	9.32175882e+01,	0,	2.83347480e-01,	3.75461424e+03,	9.41724159e-07,	
218,	5.25741573e-01,	6.16451843e+02,	1.02640911e+02,	0,	1.60073475e-01,	3.75268559e+03,	7.90924294e-05,	
219,	5.25360414e-01,	6.16174156e+02,	1.17413578e+02,	0,	2.77686627e-01,	3.74949686e+03,	9.98169587e-02,	
220,	5.24871826e-01,	6.16004255e+02,	1.20721810e+02,	0,	1.69901005e-01,	3.74755937e+03,	4.86019868e-05,	
221,	5.24795532e-01,	6.15712992e+02,	1.11878809e+02,	0,	2.91263110e-01,	3.74555460e+03,	1.47353903e-10,	
222,	5.24078369e-01,	6.15435194e+02,	1.26192211e+02,	0,	2.77798364e-01,	3.74088032e+03,	1.64473972e-05,	
